reference_id,file,visual_family,learn_from,explicitly_do_not_copy,provenance,source_url,license,license_url,retrieved_on,sha256
style-line-01,references/01-line-uncertainty.png,line plot,"type hierarchy; restrained palette; line-band contrast; legend placement; sparse grid","synthetic values; series meaning; smoothing; axis range",workspace-generated synthetic example,,,,,
style-scatter-01,references/02-scatter-fit.png,scatter with fit,"marker size and edge; fit-band hierarchy; compact annotation; whitespace","synthetic values; fitted relationship; annotation text; limits",workspace-generated synthetic example,,,,,
style-estimate-01,references/03-estimate-interval.png,dot and interval,"category spacing; zero reference; point-interval contrast; direct labels","synthetic estimates; ordering; uncertainty meaning",workspace-generated synthetic example,,,,,
style-distribution-01,references/04-distribution.png,distribution,"distribution-individual-summary layering; group spacing; restrained fills","synthetic samples; group labels; statistical comparison",workspace-generated synthetic example,,,,,
style-field-01,references/05-field-panels.png,heatmap and contour,"perceptually uniform color; compact colorbar; equal panels; contour hierarchy","synthetic field; interpolation assumptions; coordinate meaning",workspace-generated synthetic example,,,,,
style-surface-01,references/06-scientific-3d.png,scientific 3D,"meaningful third dimension; view angle; sparse grid; surface-contour relationship","synthetic surface; viewpoint as universal default; decorative 3D",workspace-generated synthetic example,,,,,
style-composite-01,references/07-multipanel-composite.png,multi-panel composite,"panel labels; alignment; shared typography; consistent color semantics; balanced density","synthetic analyses; panel combination; scientific conclusions",workspace-generated synthetic example,,,,,
style-nature-01,references/nature/nature-fig-01-model-confidence.png,scatter fit and mixed multipanel,"panel weighting; inset placement; black reference line versus blue fit; restrained blue hierarchy; compact legends; whitespace","protein data; pLDDT thresholds; molecular structure; panel combination; labels; conclusions","Tunyasuvunakool et al., Nature 596, Fig. 1 (2021); unchanged official PNG",https://www.nature.com/articles/s41586-021-03828-1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,2026-09-06,8bca2a210b10ce08d5b306cb128fcffbede9aba5dc9d97722ab21b05621757ba
style-nature-02,references/nature/nature-fig-02-replicability.png,line uncertainty and multipanel,"three-by-two alignment; strong summary curves over pale ensembles; restrained three-colour semantics; confidence-band hierarchy; shared outside legend","brain-study data; sampling schemes; curve shapes; axis ranges; statistical conclusions; panel combination","Kang et al., Nature 636, Fig. 2 (2024); unchanged official PNG",https://www.nature.com/articles/s41586-024-08260-9,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,2026-09-06,c82ee048cc5ccd5c287df4303e3f0b0810e7c8379934744a8dd60f1b90a9f198
style-nature-03,references/nature/nature-fig-03-effect-intervals.png,posterior density and interval,"density-point-interval layering; redundant marker shapes; zero reference; direct category labels; generous horizontal comparison space","bird behaviour data; categories; posterior distributions; estimates; uncertainty; conclusions","Earl et al., Nature 642, Fig. 1 (2025); unchanged official PNG",https://www.nature.com/articles/s41586-025-08958-4,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,2026-09-06,c1182ba2e7eba7320719f2e0078d3caab21b040559715952fac940357e400def
style-nature-04,references/nature/nature-fig-04-heatmap-multipanel.png,heatmap profiles and mixed multipanel,"compact heterogeneous panels; bold panel labels; heatmap-profile alignment; shared colour scales; restrained categorical accents; space-efficient legends","mosquito genomic data; microscopy; peak profiles; cluster definitions; panel structure; annotations; conclusions","Kalita et al., Nature 623, Fig. 2 (2023); unchanged official PNG",https://www.nature.com/articles/s41586-023-06641-0,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,2026-09-06,61f8f685d97c73e93f56e5597880c5427628a38bda3d8618d78674f6202e726e
style-nature-05,references/nature/nature-fig-05-colormap-guide.png,decision flow and scientific colour,"strong reading hierarchy; consistent node geometry; restrained blue palette; compact branches; side annotations; clear negative space","decision rules; colour-map taxonomy; wording; node graph; examples; scientific claims","Crameri et al., Nature Communications 11, Fig. 6 (2020); unchanged official PNG",https://www.nature.com/articles/s41467-020-19160-7,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,2026-09-06,0f4291dded4af980aef8342d2a2947565b91054bb9f027edbaf7200be69c2311
